Site Location;HW Serial number;","
ALF;DEH451561F;","
ALF;CZC7210W85;","
ALF;0510AN00D7;","
ALF;689042;","
ALF;DEH451561E;","
NCI;99E0417;","
ALF;689031;","
ALF;689041;","
ALF;8945CJP30208;","
ALF;CZJ72005400;","
ALF;DEH480248R;","
NCI;0806NNN05R;","
ALF;DEH451561H;","
ALF;06T8068;","
ALF;06D3963;","
ALF;06D3963;","
ALF;KDZRRTD;","
NCI;KDWYYZY;","
ALF;KDZRRRY;","
NCI;99C7996;","
NCI;99C8011;","
NCI;99C7998;","
NCI;99C8006;","
NCI;99C8002;","
NCI;99C8013;","
ALF;689031;","
ALF;06T8068;","
ALF;99A4686;","
ALF;689042;","
ALF;99A4690;","
ALF;99A4688;","
ALF;99D6445;","
ALF;99D6448;","
NCI;PX60919018;","
ALF;PX60919019;","
ALF;BEL0922A4X;","
ALF;BEL0922ABH;","
NCI;BEL0922A9J;","
ALF;0911ALE859;","
ALF;0911ALE858;","
ALF;99A4739;","
ALF;689040;","
ALF;06D3963;","
ALF;0926ALF2C6;","
ALF;0919BD028C;","
ALF;0926ALF2A3;","
ALF;0926ALF2A5;","
ALF;PX60915168;","
NCI;BEL0922A88;","
ALF;0911ALE859;","
ALF;0911ALE858;","
ALF;0926ALF2A5;","
NCI;99A5486;","
NCI;BEL0922A88;","
ALF;06D3994;","
ALF;689031;","
ALF;689031;","
NCI;99E2201;","
ALF;99E0612;","
ALF;99E2122;","
ALF;99E2109;","
ALF;99A4784;","
ALF;99E2125;","
ALF;0725TL11B6;","
NCI;0724TL40JW;","
ALF;6582AFB;","
ALF;6582AEB;","
ALF;06D3963;","
NCI;KD55H2N;","
NCI;KD55B4W;","
ALF;646575;","
ALF;689038;","
ALF;689042;","
ALF;06D3994;","
ALF;06D3963;","
ALF;06M4100;","
ALF;06D3994;","
ALF;689042;","
NCI;CZ25390H5F;","
NCI;CZ25390H5J;","
NCI;KD68C32;","
NCI;KD68C55;","
ALF;689041;","
ALF;06M4100;","
NCI;99E0417;","
NCI;KD55H2B;","
ALF;KD55C2Z;","
ALF;99G5639;","
ALF;99G4184;","
ALF;99G4190;","
TAG;KD28VGH;","
ALF;06X6492;","
ALF;06M4100;","
ALF;06T8148;","
ALF;06V0102;","
ALF;06M4091;","
ALF;06V0102;","
ALF;0806NNN059;","
NCI;689032;","
TAG;06XBZ97;","
ALF;689042;","
NCI;CZ25390H5C;","
ALF;06X6492;","
SEDE;646576;","
NCI;99E0417;","
NCI;99C8001;","
NCI;99C8022;","
ALF;06D3961;","
ALF;689038;","
ALF;06DD1DP;","
ALF;06DD1DP;","
ALF;689038;","
ALF;KD55H2A;","
ALF;06ZDFG4;","
ALF;06ZDFG4;","
ALF;689040;","
