Image HostName;Image Type;HW Serial number;","
gbes03;Fisica;DEH451561F;","
srv-lx-pr1;Fisica;CZC7210W85;","
bcver0;Fisica;0510AN00D7;","
bual;Virtual;689042;","
gbes01;Fisica;DEH451561E;","
s-afovirtp-dr01;Virtual;99E0417;","
s-blf-dc01;Virtual;689031;","
s-fxsrvftp-01;Fisica;689041;","
s-ortpinp-s01;Fisica;8945CJP30208;","
srv-lx-pr3;Fisica;CZJ72005400;","
sxignite;Fisica;DEH480248R;","
edist-drp;Fisica;0806NNN05R;","
dges01;Fisica;DEH451561H;","
s-csql07q-n01;Virtual;06T8068;","
s-sblwasq-s02;Virtual;06D3963;","
s-sblwasq-s03;Virtual;06D3963;","
s-rtems-s01;Fisica;KDZRRTD;","
s-saprp-01;Fisica;KDWYYZY;","
s-rtems-s02;Fisica;KDZRRRY;","
s-sblrtdp-s02;Fisica;99C7996;","
ssblsrvps01;Fisica;99C8011;","
ssblsrvps02;Fisica;99C7998;","
ssblsrvps03;Fisica;99C8006;","
ssblsrvps04;Fisica;99C8002;","
ssblsrvps05;Fisica;99C8013;","
ssblsrvs03;Virtual;689031;","
s-csql11q-n01;Virtual;06T8068;","
s-tsmdmz-s02;Fisica;99A4686;","
schbes;Virtual;689042;","
s-csql08p-n01;Fisica;99A4690;","
s-csql08p-n02;Fisica;99A4688;","
s-csql11p-n01;Fisica;99D6445;","
s-csql11p-n02;Fisica;99D6448;","
shkvrap1;Fisica;PX60919018;","
shkvraq1;Fisica;PX60919019;","
shp2pap1;Fisica;BEL0922A4X;","
shp2pap2;Fisica;BEL0922ABH;","
shrmdar1;Fisica;BEL0922A9J;","
shtibap1;Fisica;0911ALE859;","
shtibap2;Fisica;0911ALE858;","
s-csql01p-n11;Fisica;99A4739;","
s-fshark01q-s02;Virtual;689040;","
s-fshark01q-s03;Virtual;06D3963;","
shdacap1;Fisica;0926ALF2C6;","
shrmdap1;Fisica;0919BD028C;","
shrmdap2;Fisica;0926ALF2A3;","
shtibaq1;Fisica;0926ALF2A5;","
shediap1;Fisica;PX60915168;","
shtibar1;Fisica;BEL0922A88;","
sxtibap1;virtual;0911ALE859;","
sxtibap2;virtual;0911ALE858;","
sxtibaq1;virtual;0926ALF2A5;","
s-csql11p-dr01;Fisica;99A5486;","
sxtibar1;virtual;BEL0922A88;","
eprocpbt;Virtual;06D3994;","
s-emailapp-s01;Virtual;689031;","
s-gesaudp-w01;Virtual;689031;","
s-exchcmxp-dr01;Fisica;99E2201;","
s-exchcmxp-dr02;Fisica;99E0612;","
s-exchcmxp-s01;Fisica;99E2122;","
s-exchcmxp-s02;Fisica;99E2109;","
s-fssede-n11;Fisica;99A4784;","
s-fssede-n12;Fisica;99E2125;","
shjstap1;Fisica;0725TL11B6;","
shjstar1;Fisica;0724TL40JW;","
ptbc0001;Fisica;6582AFB;","
ptbc0002;Fisica;6582AEB;","
s-exchq-s01;Virtual;06D3963;","
s-beeaplp-s01;Fisica;KD55H2N;","
s-beewebp-s01;Fisica;KD55B4W;","
s-cobop-s01;Virtual;646575;","
s-coboq-s01;Virtual;689038;","
s-coplblp-s01;Virtual;689042;","
s-coplblp-s02;Virtual;06D3994;","
s-coplblq-s01;Virtual;06D3963;","
s-coplblq-s02;Virtual;06M4100;","
s-isdapp-s01;Virtual;06D3994;","
s-isddbp-s01;Virtual;689042;","
s-crmmailp-s01;Virtual;CZ25390H5F;","
s-crmmailp-s02;Virtual;CZ25390H5J;","
s-exctmgp-s01;Fisica;KD68C32;","
s-exctmgp-s02;Fisica;KD68C55;","
s-tsgwp-s11;Virtual;689041;","
s-tsgwp-s12;Virtual;06M4100;","
s-wfpl01p-dr01;Virtual;99E0417;","
s-verexp-dr01;Fisica;KD55H2B;","
s-verexp-s01;Fisica;KD55C2Z;","
s-tsmca50-s01;Fisica;99G5639;","
s-csql14p-n01;Fisica;99G4184;","
s-csql14p-n02;Fisica;99G4190;","
s-kofaxp-s11;Fisica;KD28VGH;","
s-ckofaxp-n01;Virtual;06X6492;","
s-ckofaxp-n02;Virtual;06M4100;","
s-fedzp-s01;Virtual;06T8148;","
s-fedzp-s02;Virtual;06V0102;","
s-fedzq-s01;Virtual;06M4091;","
s-fedzq-s02;Virtual;06V0102;","
shediaq1;Fisica;0806NNN059;","
s-csql14p-dr01;Fisica;689032;","
s-kofaxp-s12;Fisica;06XBZ97;","
s-tsgwp-s13;Virtual;689042;","
sftp;Virtual;CZ25390H5C;","
s-eikapp-s02;Virtual;06X6492;","
s-smdtsp-s01;Virtual;646576;","
s-smdtsp-dr01;Virtual;99E0417;","
csblsfsps02;Fisica;99C8001;","
csblsgwps01;Fisica;99C8022;","
s-prtsrvp-s01;Virtual;06D3961;","
s-blzadvap-s01;Virtual;689038;","
shvioap5;Fisica;06DD1DP;","
shvioap6;Fisica;06DD1DP;","
s-leaapq-s01;Virtual;689038;","
shdacap2;Fisica;KD55H2A;","
s-almcsp-s01;Virtual;06ZDFG4;","
s-almcsp-s02;Virtual;06ZDFG4;","
s-tivprobe-s02;Virtual;689040;","
s-tivprobe-s03;Virtual;06D3961;","
s-fsptop-s01;Virtual;99E0417;","
S-IBMMOD-S01;Virtual;06D3994;","
s-leaapd-s01;Virtual;06D3963;","
s-sgcap-s01;Virtual;689040;","
s-smintp-dr01;Virtual;99E0417;","
s-smintp-dr05;Virtual;99E0417;","
s-smintp-s01;Virtual;06D3963;","
s-smintp-s05;Virtual;06BK231;","
s-csqlesi01p-s1;Virtual;689034;","
s-eximbap-s01;Virtual;06ZDFG5;","
s-ibmmop-dr01;Virtual;99E0417;","
S-IBMMOP-S01;Virtual;06D3994;","
s-outapp-s01;Virtual;689041;","
s-csql05p-s01;Virtual;06ZDFG2;","
s-fireappp-s11;Virtual;689041;","
s-csql02p-s01;Virtual;06ZDFG0;","
lxitmap1;Virtual;06T8142;","
lxitmap2;Virtual;06T8142;","
lxitmap3;Virtual;06T8142;","
lxitmap4;Virtual;689027;","
lxtnmdd1;Virtual;06D3961;","
lxtnmdp1;Virtual;689040;","
s-csql04p-s01;Virtual;646575;","
s-ctrlm8p-dr01;Virtual;99E0417;","
s-ctrlm8p-s01;Virtual;06X6492;","
s-ctrlm8q-s01;Virtual;06D3994;","
sblh04;Fisica;CZ3328JM6T;","
sxdwhd1;Virtual;CZ32430J3N;","
sxdwhp1;Virtual;CZ32430J3N;","
sxdwhq1;Virtual;CZ32430J3N;","
sxrfudd1;Virtual;CZ32430J3N;","
sxrfudp1;Virtual;CZ32430J3N;","
sxrfudq1;Virtual;CZ32430J3N;","
shcsdap1;Virtual;;","
shcsdaq1;Virtual;;","
shnimap1;Virtual;;","
shrepar1;Virtual;;","
shtpcap1;Virtual;;","
shtsmap2;Virtual;;","
s-csql05p-n01;Virtual;06ZDPZ6;","
s-sasmetap-s02;Virtual;646575;","
s-fireappq-s11;Virtual;06D3963;","
s-sblblp-s02;Fisica;99C8210;","
s-frpt01p-s11;Virtual;06ZDFG4;","
esitmr;Virtual;;","
shexbap1;Virtual;;","
shnimap2;Virtual;;","
tivgws001;Virtual;;","
s-blf-dc02;Virtual;06X6492;","
s-sblrtdq-s01;Virtual;CZJ450098Z;","
s-sblrtdq-s02;Virtual;CZJ450098Z;","
ssblsgwqs01;Virtual;CZJ4500995;","
ssblsrvqs01;Virtual;CZJ4500995;","
ssblsrvqs02;Virtual;CZJ4500995;","
ssblsrvs04;Virtual;CZJ4500995;","
swsqltp16;Virtual;CZJ450099C;","
swsqltp36;Virtual;CZJ4500990;","
swsqltp02;Virtual;06X6492;","
swinfdp03;Virtual;CZJ4500996;","
slcsdbd04;Virtual;CZJ2390PR5;","
slcsdbq12;Virtual;CZJ2511H1J;","
slfssip01;Virtual;CZ34122RM2;","
swmfsip01af;Virtual;FCH213976C4;","
swmfsir01af;Virtual;CZJ2511H1R;","
slcsdbp01;Virtual;CZJ450099D;","
slcsdbp03;Virtual;CZ34122RLM;","
slcstdp01;Virtual;CZJ4500997;","
